Mic config:, Room:, Room decode:, Room config:, Chan:, FB T60:, Mean T60:, FB DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, Freq:, T60:, Mean T60:, DRR:, Mean DRR:, 
Chromebook, 502, Office_1, 1, 1, 0.3324203826, 0.3356312115, 3.459670121, 3.520587098, 25.11886432, 0.398203907, 0.3970229446, -7.960508114, -7.993713527, 31.6227766, 1.103882732, 1.094316593, -9.824464325, -9.737432747, 39.81071706, 2.094994405, 1.791643056, -10.65552353, -10.49513283, 50.11872336, 1.353566909, 1.361351569, -10.64678871, -10.62869322, 63.09573445, 0.7250628549, 0.7264456918, -5.251040251, -5.193462151, 79.43282347, 0.5314798407, 0.5294221131, -2.273841306, -2.23329812, 100, 0.7718674764, 0.7664727929, -8.410704022, -8.314184748, 125.8925412, 0.6077834662, 0.6097663151, -0.463259406, -0.5884815397, 158.4893192, 0.4865724397, 0.4865799146, -2.53839704, -2.576312684, 199.5262315, 0.4548873595, 0.4547667866, -3.020381613, -2.958344633, 251.1886432, 0.482124095, 0.4842817306, 1.415185103, 1.424636389, 316.227766, 0.3498212994, 0.3799858449, 1.817788866, 1.357860532, 398.1071706, 0.4410348295, 0.4437434238, -3.967802876, -4.477504915, 501.1872336, 0.3765213986, 0.3736650457, -1.10072805, -1.455175617, 630.9573445, 0.3277638913, 0.3348522642, 0.7452388487, 0.2683998218, 794.3282347, 0.301762912, 0.2962570111, 3.755705809, 3.986696872, 1000, 0.335438216, 0.3332032873, 0.7523640774, 0.7526180031, 1258.925412, 0.3216219251, 0.3155456637, 1.14736132, 1.26371481, 1584.893192, 0.2869391095, 0.282478869, 3.353827038, 5.071144235, 1995.262315, 0.2869686709, 0.2868948029, 7.33139805, 5.92465113, 2511.886432, 0.3139181228, 0.2979169284, 1.022765642, 2.073835111, 3162.27766, 0.2841602379, 0.2916654841, 5.760458874, 6.089546292, 3981.071706, 0.2676062442, 0.2744923632, 7.32640047, 8.196710248, 5011.872336, 0.2901143437, 0.292197097, 3.455563494, 3.752710022, 6309.573445, 0.2576004732, 0.2664692698, 1.964183395, 2.182536102, 7943.282347, 0.2748875972, 0.2713260682, 5.603099809, 6.268543969, 10000, 0.2317042404, 0.230880261, 5.343998416, 5.731097384, 12589.25412, 0.2174549456, 0.2156473208, 6.474127627, 5.696536209, 15848.93192, 0.218284834, 0.209228358, 5.099022224, 5.327502291, 19952.62315, 1.263915885, 1.309500919, 1.798045805, 1.541940427, 
Chromebook, 502, Office_1, 1, 2, 0.3388420404, 0.3356312115, 3.581504075, 3.520587098, 25.11886432, 0.3958419822, 0.3970229446, -8.02691894, -7.993713527, 31.6227766, 1.084750454, 1.094316593, -9.650401169, -9.737432747, 39.81071706, 1.488291708, 1.791643056, -10.33474214, -10.49513283, 50.11872336, 1.36913623, 1.361351569, -10.61059774, -10.62869322, 63.09573445, 0.7278285287, 0.7264456918, -5.135884051, -5.193462151, 79.43282347, 0.5273643856, 0.5294221131, -2.192754933, -2.23329812, 100, 0.7610781094, 0.7664727929, -8.217665474, -8.314184748, 125.8925412, 0.6117491641, 0.6097663151, -0.7137036734, -0.5884815397, 158.4893192, 0.4865873894, 0.4865799146, -2.614228327, -2.576312684, 199.5262315, 0.4546462138, 0.4547667866, -2.896307652, -2.958344633, 251.1886432, 0.4864393661, 0.4842817306, 1.434087675, 1.424636389, 316.227766, 0.4101503904, 0.3799858449, 0.8979321974, 1.357860532, 398.1071706, 0.4464520181, 0.4437434238, -4.987206954, -4.477504915, 501.1872336, 0.3708086929, 0.3736650457, -1.809623184, -1.455175617, 630.9573445, 0.3419406372, 0.3348522642, -0.208439205, 0.2683998218, 794.3282347, 0.2907511101, 0.2962570111, 4.217687936, 3.986696872, 1000, 0.3309683585, 0.3332032873, 0.7528719288, 0.7526180031, 1258.925412, 0.3094694023, 0.3155456637, 1.3800683, 1.26371481, 1584.893192, 0.2780186284, 0.282478869, 6.788461431, 5.071144235, 1995.262315, 0.2868209349, 0.2868948029, 4.51790421, 5.92465113, 2511.886432, 0.281915734, 0.2979169284, 3.12490458, 2.073835111, 3162.27766, 0.2991707304, 0.2916654841, 6.41863371, 6.089546292, 3981.071706, 0.2813784823, 0.2744923632, 9.067020025, 8.196710248, 5011.872336, 0.2942798503, 0.292197097, 4.04985655, 3.752710022, 6309.573445, 0.2753380664, 0.2664692698, 2.400888809, 2.182536102, 7943.282347, 0.2677645393, 0.2713260682, 6.933988129, 6.268543969, 10000, 0.2300562816, 0.230880261, 6.118196352, 5.731097384, 12589.25412, 0.2138396961, 0.2156473208, 4.918944792, 5.696536209, 15848.93192, 0.200171882, 0.209228358, 5.555982359, 5.327502291, 19952.62315, 1.355085952, 1.309500919, 1.28583505, 1.541940427, 
Chromebook, 502, Office_1, 2, 1, 0.3243839828, 0.3283174167, 4.857098169, 4.303361394, 25.11886432, 0.4414606939, 0.4582056912, -7.930303638, -7.781663605, 31.6227766, 1.664955039, 1.573564884, -9.837900121, -9.73488354, 39.81071706, 0.2529592615, 0.2556359528, -9.044478467, -9.208387594, 50.11872336, 1.506275095, 1.498648887, -10.07175204, -10.07440914, 63.09573445, 0.4171913842, 0.4229402553, -6.256983468, -6.283092652, 79.43282347, 0.281824488, 0.2824527432, -2.193467812, -2.218685681, 100, 0.4949716579, 0.503186362, -6.701195581, -6.726189122, 125.8925412, 0.4713697454, 0.4675266248, 0.3566466314, 0.3069454922, 158.4893192, 0.4304904738, 0.4358899989, -2.944080691, -2.876611278, 199.5262315, 0.4817221255, 0.472201646, -1.371910517, -1.119168725, 251.1886432, 0.5453330914, 0.5377027644, -2.114876384, -2.494407942, 316.227766, 0.4180693733, 0.3843661836, -1.140460591, -1.499939019, 398.1071706, 0.4397349813, 0.4342430865, -2.80744334, -1.943168298, 501.1872336, 0.4078224407, 0.4192105277, -3.063852602, -2.337684522, 630.9573445, 0.37857883, 0.3730659495, 1.715431329, 2.673074232, 794.3282347, 0.3522859512, 0.3180926265, -1.45614107, -2.354535441, 1000, 0.3115635453, 0.3049514759, 2.168279905, 1.594857216, 1258.925412, 0.2658332489, 0.2815816585, 3.183779079, 2.434221343, 1584.893192, 0.2877247075, 0.2961410288, -0.02771963103, -1.679532888, 1995.262315, 0.2581652241, 0.2679883833, 8.64144696, 6.856525815, 2511.886432, 0.2854821238, 0.2831278508, 3.590557084, 5.276398808, 3162.27766, 0.2774071626, 0.2856613734, 5.691683255, 3.682237897, 3981.071706, 0.2874691764, 0.2878918136, 5.980802133, 4.745276865, 5011.872336, 0.2461501007, 0.2557619954, 4.914457534, 5.011662815, 6309.573445, 0.2489505317, 0.2480406695, 8.84575112, 9.389946751, 7943.282347, 0.2601112555, 0.2572042216, 7.950821364, 7.440242002, 10000, 0.2240497748, 0.2236666094, 6.76442739, 5.91754424, 12589.25412, 0.2091304699, 0.2067247682, 5.585751316, 5.516683186, 15848.93192, 0.177660087, 0.1823843809, 10.26703922, 10.99965806, 19952.62315, 0.1548963606, 0.166101977, 10.52381385, 11.49881269, 
Chromebook, 502, Office_1, 2, 2, 0.3322508507, 0.3283174167, 3.749624618, 4.303361394, 25.11886432, 0.4749506885, 0.4582056912, -7.633023573, -7.781663605, 31.6227766, 1.482174728, 1.573564884, -9.63186696, -9.73488354, 39.81071706, 0.2583126441, 0.2556359528, -9.37229672, -9.208387594, 50.11872336, 1.49102268, 1.498648887, -10.07706624, -10.07440914, 63.09573445, 0.4286891263, 0.4229402553, -6.309201837, -6.283092652, 79.43282347, 0.2830809985, 0.2824527432, -2.24390355, -2.218685681, 100, 0.511401066, 0.503186362, -6.751182664, -6.726189122, 125.8925412, 0.4636835041, 0.4675266248, 0.2572443531, 0.3069454922, 158.4893192, 0.4412895241, 0.4358899989, -2.809141865, -2.876611278, 199.5262315, 0.4626811664, 0.472201646, -0.8664269328, -1.119168725, 251.1886432, 0.5300724375, 0.5377027644, -2.8739395, -2.494407942, 316.227766, 0.3506629939, 0.3843661836, -1.859417447, -1.499939019, 398.1071706, 0.4287511916, 0.4342430865, -1.078893256, -1.943168298, 501.1872336, 0.4305986147, 0.4192105277, -1.611516441, -2.337684522, 630.9573445, 0.3675530691, 0.3730659495, 3.630717136, 2.673074232, 794.3282347, 0.2838993018, 0.3180926265, -3.252929813, -2.354535441, 1000, 0.2983394064, 0.3049514759, 1.021434528, 1.594857216, 1258.925412, 0.2973300682, 0.2815816585, 1.684663606, 2.434221343, 1584.893192, 0.3045573501, 0.2961410288, -3.331346146, -1.679532888, 1995.262315, 0.2778115425, 0.2679883833, 5.07160467, 6.856525815, 2511.886432, 0.2807735778, 0.2831278508, 6.962240531, 5.276398808, 3162.27766, 0.2939155842, 0.2856613734, 1.672792539, 3.682237897, 3981.071706, 0.2883144508, 0.2878918136, 3.509751596, 4.745276865, 5011.872336, 0.2653738901, 0.2557619954, 5.108868096, 5.011662815, 6309.573445, 0.2471308073, 0.2480406695, 9.934142382, 9.389946751, 7943.282347, 0.2542971876, 0.2572042216, 6.92966264, 7.440242002, 10000, 0.223283444, 0.2236666094, 5.07066109, 5.91754424, 12589.25412, 0.2043190666, 0.2067247682, 5.447615056, 5.516683186, 15848.93192, 0.1871086749, 0.1823843809, 11.7322769, 10.99965806, 19952.62315, 0.1773075934, 0.166101977, 12.47381153, 11.49881269, 
Chromebook, EE_lobby, Building_Lobby, 1, 1, 0.7275796093, 0.7346885239, 2.422631835, 2.552247862, 25.11886432, 0.6028117408, 0.5973369017, -8.990541883, -8.899242385, 31.6227766, 0.4819384658, 0.4913763126, -7.665483759, -7.68738721, 39.81071706, 0.5617315793, 0.5686620023, -6.941960229, -6.961737893, 50.11872336, 0.5818743396, 0.586817928, -7.457301284, -7.454351869, 63.09573445, 0.4771385148, 0.4754170511, -5.484271483, -5.372669327, 79.43282347, 0.559087344, 0.5500604224, -4.782530715, -4.536516262, 100, 0.5981217606, 0.621842259, -4.231853861, -3.952104898, 125.8925412, 0.5129042624, 0.5007209993, -3.161200186, -3.258172471, 158.4893192, 0.7330138672, 0.7268018471, 0.7896479274, 0.3339727604, 199.5262315, 0.6912734389, 0.6901320055, -0.04952358033, 0.1704941138, 251.1886432, 0.5656214229, 0.5671315035, 0.3649584873, 1.154763986, 316.227766, 0.7743194638, 0.7757526979, 2.025168268, 2.132430437, 398.1071706, 0.8454336114, 0.8353014141, 3.553584795, 4.037303613, 501.1872336, 0.7339281353, 0.7571612819, -3.391641365, -2.594408594, 630.9573445, 0.6710257119, 0.6976533169, 1.794571795, 2.855133489, 794.3282347, 0.6945038673, 0.6914295912, -2.496593669, -2.334865805, 1000, 0.7947147201, 0.806231643, 2.996762939, 2.523806037, 1258.925412, 0.7913365177, 0.8049003741, -0.3007425784, 0.08633609278, 1584.893192, 0.8224340986, 0.814846711, 5.291462519, 5.042971862, 1995.262315, 0.9437029995, 0.9098702827, 4.275117859, 4.976341059, 2511.886432, 0.9087380841, 0.9055817065, -1.833567445, -0.6170580121, 3162.27766, 0.6765977367, 0.7238015008, 2.422655399, 3.687482674, 3981.071706, 0.875856936, 0.9076796332, 4.91121337, 5.295600141, 5011.872336, 0.7445401389, 0.7502317713, 2.506664927, 1.859449943, 6309.573445, 0.7100230415, 0.7219768828, 3.210586699, 2.461161104, 7943.282347, 0.5799519927, 0.584900778, -0.7643008904, -0.1877119191, 10000, 0.5272683536, 0.534053801, 5.122212525, 5.232959053, 12589.25412, 0.4906715672, 0.4944064587, 0.4362618961, 0.5070235975, 15848.93192, 0.3201235025, 0.3251408223, 2.457573631, 1.495990694, 19952.62315, 0.2500632586, 0.2495136189, 5.039521429, 4.128491396, 
Chromebook, EE_lobby, Building_Lobby, 1, 2, 0.7417974385, 0.7346885239, 2.681863889, 2.552247862, 25.11886432, 0.5918620625, 0.5973369017, -8.807942888, -8.899242385, 31.6227766, 0.5008141594, 0.4913763126, -7.709290661, -7.68738721, 39.81071706, 0.5755924254, 0.5686620023, -6.981515557, -6.961737893, 50.11872336, 0.5917615164, 0.586817928, -7.451402453, -7.454351869, 63.09573445, 0.4736955874, 0.4754170511, -5.261067171, -5.372669327, 79.43282347, 0.5410335008, 0.5500604224, -4.290501809, -4.536516262, 100, 0.6455627574, 0.621842259, -3.672355935, -3.952104898, 125.8925412, 0.4885377361, 0.5007209993, -3.355144756, -3.258172471, 158.4893192, 0.7205898269, 0.7268018471, -0.1217024065, 0.3339727604, 199.5262315, 0.6889905722, 0.6901320055, 0.390511808, 0.1704941138, 251.1886432, 0.5686415841, 0.5671315035, 1.944569484, 1.154763986, 316.227766, 0.777185932, 0.7757526979, 2.239692606, 2.132430437, 398.1071706, 0.8251692169, 0.8353014141, 4.521022432, 4.037303613, 501.1872336, 0.7803944286, 0.7571612819, -1.797175823, -2.594408594, 630.9573445, 0.7242809219, 0.6976533169, 3.915695184, 2.855133489, 794.3282347, 0.6883553151, 0.6914295912, -2.173137941, -2.334865805, 1000, 0.8177485659, 0.806231643, 2.050849135, 2.523806037, 1258.925412, 0.8184642304, 0.8049003741, 0.473414764, 0.08633609278, 1584.893192, 0.8072593234, 0.814846711, 4.794481204, 5.042971862, 1995.262315, 0.876037566, 0.9098702827, 5.67756426, 4.976341059, 2511.886432, 0.9024253289, 0.9055817065, 0.5994514209, -0.6170580121, 3162.27766, 0.7710052649, 0.7238015008, 4.95230995, 3.687482674, 3981.071706, 0.9395023305, 0.9076796332, 5.679986913, 5.295600141, 5011.872336, 0.7559234036, 0.7502317713, 1.212234958, 1.859449943, 6309.573445, 0.7339307241, 0.7219768828, 1.711735508, 2.461161104, 7943.282347, 0.5898495634, 0.584900778, 0.3888770523, -0.1877119191, 10000, 0.5408392483, 0.534053801, 5.343705581, 5.232959053, 12589.25412, 0.4981413502, 0.4944064587, 0.5777852989, 0.5070235975, 15848.93192, 0.3301581422, 0.3251408223, 0.5344077559, 1.495990694, 19952.62315, 0.2489639793, 0.2495136189, 3.217461363, 4.128491396, 
Chromebook, EE_lobby, Building_Lobby, 2, 1, 0.6436642352, 0.6618171343, 2.916895415, 2.813342704, 25.11886432, 0.4924915145, 0.4874832808, -9.841781446, -9.895006959, 31.6227766, 1.471966906, 1.4006277, -8.746667986, -8.639932425, 39.81071706, 0.5432628631, 0.6069571367, -8.319504362, -8.372559005, 50.11872336, 0.5106235774, 0.5107529213, -10.15878948, -10.27291553, 63.09573445, 0.6007672632, 0.6475917018, -5.046227711, -5.099262823, 79.43282347, 0.5940181929, 0.5944192319, -6.970971721, -6.964511434, 100, 0.5711519678, 0.5687506859, -5.322760902, -5.29225385, 125.8925412, 0.5844518288, 0.5742535737, -3.141789247, -2.982401525, 158.4893192, 0.4746065308, 0.4694088198, -3.45147324, -3.407938126, 199.5262315, 0.6051774161, 0.612946523, -0.1724214657, -0.4661067743, 251.1886432, 0.4553784521, 0.4559365767, -0.1713448532, 0.1464377039, 316.227766, 0.7599069828, 0.7455401227, 0.7169147104, 0.862683304, 398.1071706, 0.7788761435, 0.7595392335, 0.9293281237, 0.7871225268, 501.1872336, 0.6387700868, 0.6566413203, 0.3669628768, 0.3002773041, 630.9573445, 0.5054469824, 0.4928971086, -0.6290342884, 0.6317761564, 794.3282347, 0.5695726883, 0.5932219851, 5.490958205, 3.776635849, 1000, 0.758133507, 0.7604680375, 2.905967949, 2.347693655, 1258.925412, 0.657912047, 0.6895084694, -0.9681576277, -1.361078385, 1584.893192, 0.8581672942, 0.8364825725, 6.990901934, 5.337780904, 1995.262315, 0.747067976, 0.712907291, 4.305273816, 3.359534097, 2511.886432, 0.6269244189, 0.6416178478, 0.9036810681, 1.511939991, 3162.27766, 0.5918567102, 0.623855963, 0.7802043113, 3.233941934, 3981.071706, 0.784951255, 0.8074579472, 2.967886201, 3.083380419, 5011.872336, 0.667469589, 0.6595493588, 2.423006363, 1.272768517, 6309.573445, 0.6556786572, 0.6339048206, 5.10123299, 4.718070545, 7943.282347, 0.5897373084, 0.5882452198, 4.67857501, 3.649477032, 10000, 0.4999580941, 0.5154514443, 4.048146568, 4.27575645, 12589.25412, 0.4842605788, 0.4793689209, 2.561531156, 3.590613778, 15848.93192, 0.311231996, 0.305379343, 8.613571196, 9.257594896, 19952.62315, 0.1972525934, 0.1951121128, 8.250740475, 9.698064347, 
Chromebook, EE_lobby, Building_Lobby, 2, 2, 0.6799700334, 0.6618171343, 2.709789993, 2.813342704, 25.11886432, 0.482475047, 0.4874832808, -9.948232472, -9.895006959, 31.6227766, 1.329288493, 1.4006277, -8.533196865, -8.639932425, 39.81071706, 0.6706514103, 0.6069571367, -8.425613647, -8.372559005, 50.11872336, 0.5108822652, 0.5107529213, -10.38704158, -10.27291553, 63.09573445, 0.6944161403, 0.6475917018, -5.152297936, -5.099262823, 79.43282347, 0.5948202708, 0.5944192319, -6.958051147, -6.964511434, 100, 0.566349404, 0.5687506859, -5.261746798, -5.29225385, 125.8925412, 0.5640553186, 0.5742535737, -2.823013803, -2.982401525, 158.4893192, 0.4642111088, 0.4694088198, -3.364403012, -3.407938126, 199.5262315, 0.6207156299, 0.612946523, -0.7597920829, -0.4661067743, 251.1886432, 0.4564947012, 0.4559365767, 0.4642202609, 0.1464377039, 316.227766, 0.7311732626, 0.7455401227, 1.008451898, 0.862683304, 398.1071706, 0.7402023236, 0.7595392335, 0.6449169299, 0.7871225268, 501.1872336, 0.6745125538, 0.6566413203, 0.2335917314, 0.3002773041, 630.9573445, 0.4803472349, 0.4928971086, 1.892586601, 0.6317761564, 794.3282347, 0.6168712819, 0.5932219851, 2.062313493, 3.776635849, 1000, 0.7628025679, 0.7604680375, 1.789419361, 2.347693655, 1258.925412, 0.7211048919, 0.6895084694, -1.753999143, -1.361078385, 1584.893192, 0.8147978508, 0.8364825725, 3.684659875, 5.337780904, 1995.262315, 0.678746606, 0.712907291, 2.413794379, 3.359534097, 2511.886432, 0.6563112766, 0.6416178478, 2.120198913, 1.511939991, 3162.27766, 0.6558552157, 0.623855963, 5.687679558, 3.233941934, 3981.071706, 0.8299646394, 0.8074579472, 3.198874636, 3.083380419, 5011.872336, 0.6516291286, 0.6595493588, 0.1225306699, 1.272768517, 6309.573445, 0.6121309841, 0.6339048206, 4.334908099, 4.718070545, 7943.282347, 0.5867531313, 0.5882452198, 2.620379053, 3.649477032, 10000, 0.5309447945, 0.5154514443, 4.503366333, 4.27575645, 12589.25412, 0.474477263, 0.4793689209, 4.619696401, 3.590613778, 15848.93192, 0.2995266901, 0.305379343, 9.901618597, 9.257594896, 19952.62315, 0.1929716323, 0.1951121128, 11.14538822, 9.698064347, 
Chromebook, 803, Office_2, 1, 1, 0.4019585139, 0.3969042049, 4.349159406, 4.366082614, 25.11886432, 0.3843947533, 0.3892404232, -8.064306105, -7.608364773, 31.6227766, 1.466523254, 1.787852785, -8.978022601, -9.34978074, 39.81071706, 0.5359242191, 0.5470784718, -8.544058984, -8.518793285, 50.11872336, 0.8389045344, 0.8945228481, -8.266576328, -7.947829622, 63.09573445, 0.4633069927, 0.4612725063, -4.470086037, -4.452763046, 79.43282347, 0.536400394, 0.5321401987, -2.267436631, -2.29384195, 100, 0.5263022273, 0.5219658071, -4.196938623, -3.887655384, 125.8925412, 0.4591817679, 0.4568807498, -4.085366151, -4.102403236, 158.4893192, 0.4443119697, 0.4516194455, -2.285611995, -2.252855042, 199.5262315, 0.5034023013, 0.50826694, -3.030774352, -2.844347556, 251.1886432, 0.4785323898, 0.4706541388, 2.925595833, 2.77770777, 316.227766, 0.4492414533, 0.441497811, 2.54342901, 2.270887574, 398.1071706, 0.424879492, 0.4260353553, -0.2133244715, -0.7751812938, 501.1872336, 0.4140028258, 0.4255113082, -1.404744668, -1.543597217, 630.9573445, 0.4236550368, 0.4256073418, 2.333527049, 1.767224339, 794.3282347, 0.4801206116, 0.4697274525, 1.24188605, 0.9451281919, 1000, 0.4527726727, 0.4642793355, -1.149592282, -0.8128583052, 1258.925412, 0.4290247913, 0.441131549, -0.6711850325, 0.4320753083, 1584.893192, 0.4117809035, 0.4133505331, 8.515391367, 7.494534014, 1995.262315, 0.4209424857, 0.4178439215, 6.944071938, 5.760322902, 2511.886432, 0.4038195594, 0.4012245387, -0.8921039296, -0.3029679838, 3162.27766, 0.4158695825, 0.4143704947, 7.351149435, 6.475943915, 3981.071706, 0.4008922178, 0.3984158499, 5.039637307, 4.644431256, 5011.872336, 0.4093802088, 0.4062901389, 3.62183023, 3.881077469, 6309.573445, 0.4031476672, 0.3941946751, 6.41176459, 6.501821534, 7943.282347, 0.4046675054, 0.406390811, 0.3608617266, -0.1966515897, 10000, 0.3470710785, 0.3504800281, 5.482748089, 6.260996751, 12589.25412, 0.3406291339, 0.3491697338, 1.141723849, 3.687162153, 15848.93192, 0.3101054679, 0.3178016824, 5.265202364, 5.564445119, 19952.62315, 1.250506144, 1.291999342, 2.321998162, 3.225009303, 
Chromebook, 803, Office_2, 1, 2, 0.391849896, 0.3969042049, 4.383005821, 4.366082614, 25.11886432, 0.3940860931, 0.3892404232, -7.15242344, -7.608364773, 31.6227766, 2.109182317, 1.787852785, -9.721538878, -9.34978074, 39.81071706, 0.5582327244, 0.5470784718, -8.493527586, -8.518793285, 50.11872336, 0.9501411619, 0.8945228481, -7.629082916, -7.947829622, 63.09573445, 0.45923802, 0.4612725063, -4.435440056, -4.452763046, 79.43282347, 0.5278800035, 0.5321401987, -2.32024727, -2.29384195, 100, 0.5176293869, 0.5219658071, -3.578372146, -3.887655384, 125.8925412, 0.4545797318, 0.4568807498, -4.119440321, -4.102403236, 158.4893192, 0.4589269212, 0.4516194455, -2.220098089, -2.252855042, 199.5262315, 0.5131315787, 0.50826694, -2.657920761, -2.844347556, 251.1886432, 0.4627758877, 0.4706541388, 2.629819707, 2.77770777, 316.227766, 0.4337541687, 0.441497811, 1.998346137, 2.270887574, 398.1071706, 0.4271912187, 0.4260353553, -1.337038116, -0.7751812938, 501.1872336, 0.4370197906, 0.4255113082, -1.682449766, -1.543597217, 630.9573445, 0.4275596468, 0.4256073418, 1.200921628, 1.767224339, 794.3282347, 0.4593342935, 0.4697274525, 0.6483703342, 0.9451281919, 1000, 0.4757859984, 0.4642793355, -0.4761243282, -0.8128583052, 1258.925412, 0.4532383068, 0.441131549, 1.535335649, 0.4320753083, 1584.893192, 0.4149201627, 0.4133505331, 6.473676662, 7.494534014, 1995.262315, 0.4147453573, 0.4178439215, 4.576573865, 5.760322902, 2511.886432, 0.398629518, 0.4012245387, 0.286167962, -0.3029679838, 3162.27766, 0.4128714069, 0.4143704947, 5.600738394, 6.475943915, 3981.071706, 0.395939482, 0.3984158499, 4.249225205, 4.644431256, 5011.872336, 0.403200069, 0.4062901389, 4.140324709, 3.881077469, 6309.573445, 0.385241683, 0.3941946751, 6.591878478, 6.501821534, 7943.282347, 0.4081141166, 0.406390811, -0.7541649061, -0.1966515897, 10000, 0.3538889778, 0.3504800281, 7.039245413, 6.260996751, 12589.25412, 0.3577103337, 0.3491697338, 6.232600457, 3.687162153, 15848.93192, 0.3254978969, 0.3178016824, 5.863687874, 5.564445119, 19952.62315, 1.33349254, 1.291999342, 4.128020444, 3.225009303, 
